Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft),Max Cum PRCP (inc)
SS0114_PP002_SM1_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 09:59,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0114_PP012_SM4_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 04:22,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0114_PP017_SM4_BF1_Base,Success,14h 47m 19s,45,,42248.,0.4744,0.36,Dec 30 16:28,Dec 31 07:15,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0114_PP041_SM4_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 08:44,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0114_PP058_SM2_BF1_Base,Success,13h 39m 34s,42,,43189.,0.4856,0.43,Dec 30 16:06,Dec 31 05:46,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0114_PP096_SM3_BF1_Base,Success,14h 23m 20s,45,,42634.,0.4803,0.37,Dec 30 15:53,Dec 31 06:16,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0114_PP129_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 04:42,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0114_PP167_SM2_BF1_Base,Success,14h 37m 2s,45,,42612.,0.4788,0.17,Dec 30 15:52,Dec 31 06:29,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0114_PP172_SM1_BF1_Base,Success,14h 39m 13s,45,,43152.,0.4792,0.43,Dec 30 15:50,Dec 31 06:29,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0114_PP238_SM1_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 13:28,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
