Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
S0113,SUCCESS,6.25,28,,18697.,0.3184,0.11,Jul 21 02:11,Jul 21 08:26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S0114,SUCCESS,6.951944444444445,28,,20148.,0.3456,0.16,Jul 21 02:11,Jul 21 09:08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S0115,SUCCESS,8.42361111111111,36,,30488.,0.4323,0.12,Mar 15 18:21,Mar 16 02:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S0116,SUCCESS,7.495555555555556,32,,26012.,0.3589,1.54,Jul 21 02:10,Jul 21 09:40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S0117,SUCCESS,6.801944444444445,28,,17745.,0.2910,0.11,Jul 21 02:12,Jul 21 09:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S0118,SUCCESS,11.523055555555556,48,,22108.,0.2726,0.17,Mar 15 18:20,Mar 16 05:51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S0119,SUCCESS,6.362777777777778,28,,15188.,0.2810,0.18,Jul 21 02:11,Jul 21 08:33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S0120,SUCCESS,5.825833333333333,24,,13490.,0.2555,0.07,Jul 21 02:10,Jul 21 07:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S0121,SUCCESS,8.709166666666667,36,,80692.,1.140,1.18,Jul 21 02:15,Jul 21 10:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S0122,SUCCESS,9.0825,40,,43502.,0.5939,0.18,Mar 15 18:27,Mar 16 03:32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S0123,SUCCESS,9.237777777777778,40,,69748.,0.9557,0.20,Mar 15 18:28,Mar 16 03:42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S0124,SUCCESS,7.4863888888888885,32,,23435.,0.3513,0.13,Jul 21 02:14,Jul 21 09:43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S0125,SUCCESS,4.763888888888889,20,,11914.,0.2473,0.18,Jul 21 02:10,Jul 21 06:56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S0126,SUCCESS,6.965833333333333,28,,12885.,0.1828,1.87,Jul 21 02:10,Jul 21 09:08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S0127,SUCCESS,6.105277777777777,28,,11827.,0.2092,0.18,Jul 21 02:09,Jul 21 08:16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S0128,SUCCESS,8.584722222222222,36,,17669.,0.3093,0.11,Jul 21 02:13,Jul 21 10:48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
S0129,SUCCESS,8.5325,36,,24631.,0.4045,4.52,Jul 21 02:12,Jul 21 10:44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
