folder,vol_error_af,vol_error_pct,start_time,end_time,max_wse,max_depth,max_face_velocity,max_velocity,max_volume,max_flow_balance,max_wind_EventCond,max_prcp_EventCond,max_bc_flow_EventCond,max_bc_stage_EventCond,max_IC_elevation,unique_manning,unique_cell_infiltration_initial_deficit,unique_cell_infiltration_maximum_deficit,unique_cell_infiltration_pot_percolation_rate,unique_cell_impervious_pct_imper
SS0114_PP458_SM2_BF1_SLR1,47301.83984375,0.6659321188926697,03Jul2000 11:00:00,17Jul2000 00:00:00,327.6592712402344,79.28224182128906,106.59149932861328,35249.394218750225,587864576.0,158732.453125,186.80235290527344,4.34650993347168,6990.0,6.214300155639648,21.670000076293945,262566,218184,248376,2,216306
SS0114_PP017_SM4_BF1_SLR1,42564.03125,0.5976383686065674,03Jul2000 11:00:00,17Jul2000 00:00:00,327.6592712402344,13.862960815429688,141.137939453125,35317.050742188054,588576960.0,158760.46875,186.80235290527344,4.138486385345459,6730.0,6.214300155639648,21.670000076293945,262648,204369,248521,1,216366
SS0114_PP342_SM3_BF1_SLR1,42759.27734375,0.6031898260116577,03Jul2000 11:00:00,17Jul2000 00:00:00,327.6592712402344,13.53842544555664,141.13816833496094,35225.94343750004,587972032.0,159561.3125,186.80235290527344,5.675631046295166,6130.0,6.214300155639648,21.670000076293945,262648,211903,248521,2,216366
SS0114_PP058_SM2_BF1_SLR1,43230.203125,0.6088914275169373,03Jul2000 11:00:00,17Jul2000 00:00:00,327.6592712402344,30.55716896057129,141.13796997070312,35405.083710937506,589808704.0,158891.84375,186.80235290527344,2.8229146003723145,6420.0,6.214300155639648,21.670000076293945,262566,218184,248376,2,216306
SS0114_PP411_SM4_BF1_SLR1,42994.9921875,0.5945121645927429,03Jul2000 11:00:00,17Jul2000 00:00:00,327.6592712402344,22.111770629882812,141.13768005371094,35334.73480468762,589552000.0,158946.3125,186.80235290527344,5.575974464416504,9130.0,6.214300155639648,21.670000076293945,262648,204369,248521,1,216366
SS0114_PP102_SM1_BF1_SLR1,42911.35546875,0.5923102498054504,03Jul2000 11:00:00,17Jul2000 00:00:00,327.6592712402344,21.805912017822266,141.13832092285156,35440.04527343753,590394624.0,158913.484375,186.80235290527344,3.361072540283203,16300.0,6.214300155639648,21.670000076293945,262608,226035,248471,1,216364
SS0114_PP004_SM4_BF1_SLR1,43315.90625,0.6099685430526733,03Jul2000 11:00:00,17Jul2000 00:00:00,327.6592712402344,19.140453338623047,141.13790893554688,35274.77148437501,588232640.0,159743.046875,186.80235290527344,2.4609146118164062,6700.0,6.214300155639648,21.670000076293945,262648,204369,248521,1,216366
SS0114_PP247_SM3_BF1_SLR1,44112.12109375,0.6169122457504272,03Jul2000 11:00:00,17Jul2000 00:00:00,327.6592712402344,76.32881927490234,141.13821411132812,35330.750859375024,587177472.0,159658.75,186.80235290527344,3.2492117881774902,6490.0,6.214300155639648,21.670000076293945,262648,211903,248521,2,216366
SS0114_PP129_SM2_BF1_SLR1,43167.4609375,0.609996497631073,03Jul2000 11:00:00,17Jul2000 00:00:00,327.6592712402344,10.595748901367188,141.13795471191406,35261.611328125095,587578112.0,158801.765625,186.80235290527344,3.8660638332366943,5040.0,6.214300155639648,21.670000076293945,262566,218184,248376,2,216306
SS0114_PP009_SM1_BF1_SLR1,42664.8046875,0.5994543433189392,03Jul2000 11:00:00,17Jul2000 00:00:00,327.6592712402344,27.157779693603516,106.59024047851562,35282.77996093759,588169088.0,158877.859375,186.80235290527344,2.0922327041625977,8650.0,6.214300155639648,21.670000076293945,262608,226035,248471,1,216364
