Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
SS0114_PP002_SM1_BF1_SLR4,SUCCESS,15.39111111111111,256,,43017.,0.3550,0.99,Feb 07 18:14,Feb 08 09:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP002_SM4_BF1_SLR4,SUCCESS,15.377222222222223,256,,43017.,0.3540,1.34,Feb 07 18:15,Feb 08 09:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP012_SM4_BF1_SLR4,SUCCESS,16.184444444444445,272,,42926.,0.3551,0.70,Feb 07 18:16,Feb 08 10:27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP017_SM4_BF1_SLR4,SUCCESS,14.864444444444445,240,,42220.,0.3472,0.70,Feb 13 05:51,Feb 13 20:43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP041_SM4_BF1_SLR4,SUCCESS,15.660833333333334,256,,43127.,0.3473,0.55,Feb 11 22:10,Feb 12 13:49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP057_SM4_BF1_SLR4,SUCCESS,16.549166666666668,272,,42088.,0.3438,1.00,Feb 13 05:55,Feb 13 22:27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP058_SM2_BF1_SLR4,SUCCESS,17.75638888888889,288,,42984.,0.3541,0.68,Feb 11 21:02,Feb 12 14:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP061_SM4_BF1_SLR4,SUCCESS,15.385277777777777,256,,41565.,0.3423,0.52,Feb 07 18:14,Feb 08 09:37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP062_SM2_BF1_SLR4,SUCCESS,15.650833333333333,256,,42639.,0.3514,0.66,Feb 13 05:52,Feb 13 21:31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP096_SM3_BF1_SLR4,SUCCESS,18.960833333333333,304,,42291.,0.3485,0.57,Feb 11 21:03,Feb 12 16:01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP104_SM1_BF1_SLR4,SUCCESS,15.679444444444444,256,,42486.,0.3505,0.69,Feb 11 21:08,Feb 12 12:49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP112_SM4_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:15,N/A,,,,,,,,,,
SS0114_PP115_SM3_BF1_SLR4,SUCCESS,15.35361111111111,256,,43525.,0.3558,0.59,Feb 07 18:15,Feb 08 09:36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP122_SM1_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:13,N/A,,,,,,,,,,
SS0114_PP129_SM2_BF1_SLR4,SUCCESS,14.75,240,,42515.,0.3509,0.54,Feb 11 21:29,Feb 12 12:14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0114_PP145_SM2_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:13,N/A,,,,,,,,,,
SS0114_PP150_SM1_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:12,N/A,,,,,,,,,,
