Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
syn_event_0_H-H-H_2001-11-14_20-00-00_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,May 17 01:48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_0_H-H-L_2019-11-13_05-00-00_SM3_BF1_Base,SUCCESS,11.264722222222222,48,,33353.,0.8252,0.93,May 14 16:19,May 15 03:35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_0_H-L-H_2008-03-07_19-00-00_SM3_BF1_Base,SUCCESS,8.085555555555556,36,,47086.,1.078,1.08,May 14 17:23,May 15 01:28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_0_H-L-L_2006-12-08_12-00-00_SM3_BF1_Base,SUCCESS,7.325277777777777,32,,16735.,0.3712,2.04,May 14 17:42,May 15 01:02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_0_L-H-H_2016-01-28_01-00-00_SM3_BF1_Base,SUCCESS,7.378333333333333,32,,18940.,0.4487,0.85,May 15 14:08,May 15 21:31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_0_L-H-L_2014-04-20_09-00-00_SM3_BF1_Base,SUCCESS,9.702499999999999,40,,82836.,1.734,1.19,May 15 14:03,May 15 23:45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_0_L-L-H_1998-03-19_08-00-00_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,May 17 01:50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_1000_L-H-L_2016-06-19_03-00-00_SM3_BF1_Base,SUCCESS,7.475833333333333,32,,24109.,0.4823,0.86,May 15 14:10,May 15 21:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_1001_L-L-H_2023-11-16_23-00-00_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,May 17 01:50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_1002_L-H-L_2017-08-28_00-00-00_SM3_BF1_Base,SUCCESS,10.26361111111111,44,,37906.,0.7708,3.11,May 15 14:03,May 16 00:19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_1002_L-L-H_2002-12-13_06-00-00_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,May 17 01:50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_1003_L-H-L_1998-02-27_06-00-00_SM3_BF1_Base,SUCCESS,9.608333333333333,40,,26089.,0.5420,1.18,May 15 14:03,May 15 23:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_1003_L-L-H_1983-03-07_09-00-00_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,May 17 01:50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_1004_L-H-L_1991-01-25_12-00-00_SM3_BF1_Base,SUCCESS,9.82,40,,35318.,0.7567,0.80,May 15 14:04,May 15 23:53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_1004_L-L-H_2002-12-10_02-00-00_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,May 17 01:50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_1005_L-H-L_1993-01-16_04-00-00_SM3_BF1_Base,SUCCESS,9.136388888888888,40,,60044.,1.268,0.92,May 15 14:04,May 15 23:12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_1005_L-L-H_2023-06-23_11-00-00_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,May 17 01:50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
