Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
syn_event_0_H-H-H_2001-11-14_20-00-00_SM3_BF1_SLR1,SUCCESS,10.701388888888888,44,,44206.,0.9495,0.48,May 22 18:53,May 23 05:35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_0_H-H-L_2019-11-13_05-00-00_SM3_BF1_SLR1,SUCCESS,8.164444444444445,36,,33758.,0.7722,0.38,May 23 18:38,May 24 02:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_0_H-L-H_2008-03-07_19-00-00_SM3_BF1_SLR1,SUCCESS,8.64111111111111,36,,47565.,0.9988,1.08,May 23 19:42,May 24 04:20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_0_H-L-L_2006-12-08_12-00-00_SM3_BF1_SLR1,SUCCESS,6.670555555555556,28,,17173.,0.3477,2.01,May 23 20:02,May 24 02:42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_100_H-H-H_2021-11-05_15-00-00_SM3_BF1_SLR1,SUCCESS,13.174444444444443,56,,30588.,0.5621,2.93,May 22 18:54,May 23 08:04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_100_H-H-L_2004-09-20_07-00-00_SM3_BF1_SLR1,SUCCESS,7.703055555555555,32,,53877.,1.097,0.41,May 23 18:38,May 24 02:20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_100_H-L-H_2006-12-25_15-00-00_SM3_BF1_SLR1,SUCCESS,11.275277777777779,48,,33632.,0.6511,5.72,May 23 19:42,May 24 06:58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_100_H-L-L_2017-01-23_00-00-00_SM3_BF1_SLR1,SUCCESS,6.483055555555556,28,,16033.,0.3343,0.24,May 23 20:02,May 24 02:31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_101_H-H-H_2011-10-08_12-00-00_SM3_BF1_SLR1,SUCCESS,9.897499999999999,40,,73200.,1.377,2.20,May 22 18:53,May 23 04:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_101_H-H-L_2016-01-05_13-00-00_SM3_BF1_SLR1,SUCCESS,10.640277777777778,44,,66356.,1.329,1.17,May 23 18:38,May 24 05:16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_101_H-L-H_2018-12-20_15-00-00_SM3_BF1_SLR1,SUCCESS,10.396388888888888,44,,35246.,0.6747,2.87,May 23 19:42,May 24 06:05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_101_H-L-L_2019-12-20_16-00-00_SM3_BF1_SLR1,SUCCESS,8.165555555555557,36,,46922.,0.9673,0.85,May 23 20:06,May 24 04:16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_102_H-H-H_2021-11-05_15-00-00_SM3_BF1_SLR1,SUCCESS,13.468333333333334,56,,32756.,0.5889,2.98,May 22 18:53,May 23 08:21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_102_H-H-L_2016-01-05_13-00-00_SM3_BF1_SLR1,SUCCESS,9.555833333333334,40,,39315.,0.7823,1.20,May 23 18:38,May 24 04:11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_102_H-L-H_2022-03-12_14-00-00_SM3_BF1_SLR1,SUCCESS,11.928055555555554,48,,26202.,0.4962,3.19,May 23 19:42,May 24 07:37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_102_H-L-L_2023-03-03_21-00-00_SM3_BF1_SLR1,SUCCESS,8.56861111111111,36,,79456.,1.733,2.59,May 23 20:06,May 24 04:40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_103_H-H-H_2011-10-08_12-00-00_SM3_BF1_SLR1,SUCCESS,13.731944444444444,56,,73743.,1.354,2.25,May 22 18:54,May 23 08:37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_103_H-H-L_1989-03-10_05-00-00_SM3_BF1_SLR1,SUCCESS,7.404444444444445,32,,28734.,0.5494,0.80,May 23 18:38,May 24 02:02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_103_H-L-H_2005-07-10_09-00-00_SM3_BF1_SLR1,SUCCESS,8.80888888888889,36,,41086.,0.8252,1.08,May 23 19:42,May 24 04:30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_103_H-L-L_2023-12-14_17-00-00_SM3_BF1_SLR1,SUCCESS,10.9375,44,,74680.,1.569,1.45,May 23 20:06,May 24 07:02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_104_H-H-H_2005-02-27_17-00-00_SM3_BF1_SLR1,SUCCESS,12.727500000000001,52,,28283.,0.5260,3.05,May 22 18:53,May 23 07:36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_104_H-H-L_2016-01-05_13-00-00_SM3_BF1_SLR1,SUCCESS,10.056666666666667,44,,37431.,0.7060,1.39,May 23 18:38,May 24 04:41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_104_H-L-H_1979-04-25_09-00-00_SM3_BF1_SLR1,SUCCESS,12.7325,52,,117520.,2.340,2.90,May 23 19:42,May 24 08:26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_104_H-L-L_2006-01-14_08-00-00_SM3_BF1_SLR1,SUCCESS,6.474444444444445,28,,17627.,0.3748,0.50,May 23 20:06,May 24 02:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
syn_event_105_H-H-H_2017-10-01_00-00-00_SM3_BF1_SLR1,SUCCESS,13.424999999999999,56,,99192.,1.940,3.17,May 22 18:53,May 23 08:19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
