Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (in)
syn_event_0_H-H-H_2001-11-14_20-00-00_SM3_BF1_SLR4,SUCCESS,8.761388888888888,36,,45250.,0.8001,0.84,May 27 01:36,May 27 10:21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_0_H-H-L_2019-11-13_05-00-00_SM3_BF1_SLR4,SUCCESS,9.693333333333333,40,,34573.,0.6529,0.50,May 27 01:54,May 27 11:35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_0_H-L-H_2008-03-07_19-00-00_SM3_BF1_SLR4,SUCCESS,9.21888888888889,40,,48182.,0.8320,0.99,May 27 02:07,May 27 11:21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_0_H-L-L_2006-12-08_12-00-00_SM3_BF1_SLR4,SUCCESS,6.963611111111112,28,,17416.,0.2885,2.28,May 27 02:06,May 27 09:04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_0_L-H-H_2016-01-28_01-00-00_SM3_BF1_SLR4,SUCCESS,7.776944444444444,32,,19632.,0.3513,0.85,May 28 01:09,May 28 08:56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_0_L-H-L_2014-04-20_09-00-00_SM3_BF1_SLR4,SUCCESS,9.805833333333334,40,,83660.,1.307,2.07,May 28 01:10,May 28 10:58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_0_L-L-H_1998-03-19_08-00-00_SM3_BF1_SLR4,SUCCESS,10.22888888888889,44,,23672.,0.3779,1.06,May 30 13:44,May 30 23:58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1000_L-H-L_2016-06-19_03-00-00_SM3_BF1_SLR4,SUCCESS,7.484444444444445,32,,24307.,0.3653,0.98,May 28 01:09,May 28 08:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1001_L-L-H_2023-11-16_23-00-00_SM3_BF1_SLR4,SUCCESS,10.619444444444445,44,,25049.,0.3900,3.21,May 30 13:44,May 31 00:21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1002_L-H-L_2017-08-28_00-00-00_SM3_BF1_SLR4,SUCCESS,10.901111111111112,44,,38277.,0.5855,3.11,May 28 01:08,May 28 12:02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1002_L-L-H_2002-12-13_06-00-00_SM3_BF1_SLR4,SUCCESS,9.13861111111111,40,,46202.,0.7722,2.20,May 30 13:44,May 30 22:52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1003_L-H-L_1998-02-27_06-00-00_SM3_BF1_SLR4,SUCCESS,9.9425,40,,26216.,0.4035,1.19,May 28 01:09,May 28 11:05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1003_L-L-H_1983-03-07_09-00-00_SM3_BF1_SLR4,SUCCESS,9.566666666666666,40,,29543.,0.4849,3.04,May 30 13:44,May 30 23:18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1004_L-H-L_1991-01-25_12-00-00_SM3_BF1_SLR4,SUCCESS,10.370277777777778,44,,35340.,0.5655,0.85,May 28 01:09,May 28 11:31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1004_L-L-H_2002-12-10_02-00-00_SM3_BF1_SLR4,SUCCESS,9.902222222222223,40,,46807.,0.7468,1.83,May 30 13:44,May 30 23:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1005_L-H-L_1993-01-16_04-00-00_SM3_BF1_SLR4,SUCCESS,9.640555555555554,40,,60439.,0.9511,1.07,May 28 01:10,May 28 10:48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1005_L-L-H_2023-06-23_11-00-00_SM3_BF1_SLR4,SUCCESS,9.458888888888888,40,,44516.,0.7415,3.18,May 30 13:44,May 30 23:11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
