Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft),Max Cum PRCP (inc)
clean_SS0114_PP017_SM4_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP012_SM4_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP458_SM5_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP096_SM3_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP129_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP041_SM4_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP002_SM1_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP339_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP418_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP238_SM1_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP167_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP319_SM4_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP058_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP180_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP351_SM4_BF1_Base,Success,14h 39m 8s,45,,42136.,0.4745,0.83,Dec 31 09:59,Jan 01 00:38,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP414_SM2_BF1_Base,Success,N/A,0,,43426.,0.4870,0.24,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0116_PP122_SM3_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0116_PP302_SM5_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0116_PP450_SM5_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP458_SM2_BF1_Base,Failed,12h 52m 59s,0,,N/A,N/A,N/A,Dec 31 07:47,Dec 31 20:40,", filename = 'COJCOMPOUNDCOMPUTET.p01.tmp.hdf', file descriptor = 3, errno = 122, error message = 'Disk quota exceeded', buf = 0x15f6fca2, total write size = 4906, bytes this sub-write = 4906, bytes actually written = 18446744073709551615, offset = 0 HDF_ERROR trying to use HDF output file HDF_ERROR trying to close HDF output file:",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0118_PP496_SM4_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0119_PP013_SM3_BF1_Base,Success,15h 22m 34s,48,,35183.,0.3751,0.81,Dec 31 10:27,Jan 01 01:49,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0119_PP014_SM1_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0119_PP043_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0115_PP299_SM4_BF1_Base,Failed,12h 44m 2s,0,,N/A,N/A,N/A,Dec 31 14:06,Jan 01 02:51,", filename = 'COJCOMPOUNDCOMPUTET.p01.tmp.hdf', file descriptor = 3, errno = 122, error message = 'Disk quota exceeded', buf = 0x16c2508b, total write size = 1181465, bytes this sub-write = 1181465, bytes actually written = 18446744073709551615, offset = 0 HDF_ERROR trying to use HDF output file HDF_ERROR trying to close HDF output file:",327.66,5.8,5.83,569548992.0,134900.12,N/A,N/A,N/A,N/A
clean_SS0119_PP105_SM1_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP104_SM1_BF1_Base,Success,15h 7m 12s,48,,42453.,0.4789,0.27,Jan 01 04:11,Jan 01 19:18,,327.66,26.76,106.38,571679744.0,134277.98,N/A,N/A,N/A,5.72
clean_SS0114_PP280_SM1_BF1_Base,Success,13h 56m 14s,42,,42252.,0.4742,1.22,Jan 01 05:41,Jan 01 19:37,,327.66,54.48,106.38,571679744.0,134700.72,N/A,N/A,N/A,5.9
clean_SS0119_PP247_SM2_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP061_SM4_BF1_Base,Success,15h 22m 18s,48,,41764.,0.4698,0.61,Jan 01 01:48,Jan 01 17:10,,327.66,21.03,64.64,571679744.0,134689.33,N/A,N/A,N/A,3.52
clean_SS0114_PP166_SM5_BF1_Base,Success,14h 31m 57s,45,,42735.,0.4837,0.80,Dec 31 22:08,Jan 01 12:40,,327.66,79.36,53.29,571679744.0,134544.36,N/A,N/A,N/A,2.69
clean_SS0119_PP319_SM3_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP115_SM3_BF1_Base,Success,14h 58m 25s,45,,43526.,0.4847,0.56,Dec 31 21:09,Jan 01 12:07,,327.66,43.17,53.28,571679744.0,136402.75,N/A,N/A,N/A,4.18
clean_SS0114_PP062_SM2_BF1_Base,Success,14h 3m 24s,45,,42898.,0.4824,0.40,Jan 01 03:30,Jan 01 17:33,,327.66,50.44,106.38,571679744.0,134665.52,N/A,N/A,N/A,4.49
clean_SS0119_PP477_SM4_BF1_Base,Failed,N/A,0,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clean_SS0114_PP057_SM4_BF1_Base,Success,14h 30m 39s,45,,42362.,0.4714,0.50,Jan 01 05:30,Jan 01 20:01,,327.66,79.36,41.12,571679744.0,135991.27,N/A,N/A,N/A,4.75
