Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft)
S0113,Success,6h 15m 0s,21,,18697.,0.3184,0.11,Jul 21 02:11,Jul 21 08:26,,327.66,6.28,N/A,N/A,N/A,N/A,0.34,8.24
S0114,Success,6h 57m 7s,21,,20148.,0.3456,0.16,Jul 21 02:11,Jul 21 09:08,,327.66,8.02,N/A,N/A,N/A,N/A,0.59,8.24
S0116,Success,7h 29m 44s,24,,26012.,0.3589,1.54,Jul 21 02:10,Jul 21 09:40,,327.66,20.35,N/A,N/A,N/A,N/A,1.6,8.72
S0115,Success,9h 45m 12s,30,,32946.,0.4353,2.57,Jul 21 02:19,Jul 21 12:04,,327.66,14.13,N/A,N/A,N/A,N/A,0.58,11.55
S0117,Success,6h 48m 7s,21,,17745.,0.2910,0.11,Jul 21 02:12,Jul 21 09:00,,327.66,5.7,N/A,N/A,N/A,N/A,0.35,8.24
S0118,Success,8h 34m 29s,27,,22199.,0.2934,2.46,Jul 21 02:15,Jul 21 10:50,,327.66,14.13,N/A,N/A,N/A,N/A,0.58,11.55
S0119,Success,6h 21m 46s,21,,15188.,0.2810,0.18,Jul 21 02:11,Jul 21 08:33,,327.66,5.57,N/A,N/A,N/A,N/A,0.43,8.24
S0120,Success,5h 49m 33s,18,,13490.,0.2555,0.07,Jul 21 02:10,Jul 21 07:59,,327.66,5.84,N/A,N/A,N/A,N/A,0.45,8.24
S0121,Success,8h 42m 33s,27,,80692.,1.140,1.18,Jul 21 02:15,Jul 21 10:57,,327.66,10.97,N/A,N/A,N/A,N/A,0.62,8.24
S0122,Success,9h 15m 23s,30,,50076.,0.6606,2.41,Jul 21 02:17,Jul 21 11:32,,327.66,14.13,N/A,N/A,N/A,N/A,0.58,11.55
S0123,Success,8h 32m 34s,27,,73972.,0.9752,2.58,Jul 21 02:16,Jul 21 10:48,,327.66,14.13,N/A,N/A,N/A,N/A,0.58,11.55
S0124,Success,7h 29m 11s,24,,23435.,0.3513,0.13,Jul 21 02:14,Jul 21 09:43,,327.66,5.83,N/A,N/A,N/A,N/A,0.38,8.24
S0125,Success,4h 45m 50s,15,,11914.,0.2473,0.18,Jul 21 02:10,Jul 21 06:56,,327.66,6.08,N/A,N/A,N/A,N/A,0.64,8.24
S0126,Success,6h 57m 57s,21,,12885.,0.1828,1.87,Jul 21 02:10,Jul 21 09:08,,327.66,17.12,N/A,N/A,N/A,N/A,1.39,8.72
S0127,Success,6h 6m 19s,21,,11827.,0.2092,0.18,Jul 21 02:09,Jul 21 08:16,,327.66,7.8,N/A,N/A,N/A,N/A,0.75,8.24
S0128,Success,8h 35m 5s,27,,17669.,0.3093,0.11,Jul 21 02:13,Jul 21 10:48,,327.66,7.14,N/A,N/A,N/A,N/A,0.4,8.24
S0129,Success,8h 31m 57s,27,,24631.,0.4045,4.52,Jul 21 02:12,Jul 21 10:44,,327.66,9.38,N/A,N/A,N/A,N/A,0.51,8.24
S0130,Success,11h 17m 2s,36,,135529.,1.675,4.95,Jul 21 02:17,Jul 21 13:34,,327.66,20.6,N/A,N/A,N/A,N/A,1.15,8.72
S0131,Success,11h 32m 3s,36,,124878.,1.639,2.83,Jul 21 02:18,Jul 21 13:50,,327.66,15.41,N/A,N/A,N/A,N/A,0.58,11.55
S0132,Success,10h 22m 59s,33,,31430.,0.4086,0.20,Jul 21 02:16,Jul 21 12:39,,327.66,9.01,N/A,N/A,N/A,N/A,0.53,8.24
S0133,Success,6h 39m 24s,21,,19087.,0.3296,0.31,Jul 21 02:30,Jul 21 09:09,,327.66,9.38,N/A,N/A,N/A,N/A,0.65,8.24
S0135,Success,7h 7m 6s,24,,12147.,0.2046,0.22,Jul 21 02:30,Jul 21 09:37,,327.66,9.29,N/A,N/A,N/A,N/A,0.91,8.24
S0134,Success,5h 29m 20s,18,,12268.,0.2402,0.18,Jul 21 02:29,Jul 21 07:59,,327.66,7.94,N/A,N/A,N/A,N/A,0.45,8.24
S0136,Success,7h 40m 51s,24,,17690.,0.2674,0.12,Jul 21 02:34,Jul 21 10:15,,327.66,7.55,N/A,N/A,N/A,N/A,0.38,8.24
S0137,Success,10h 2m 27s,33,,23975.,0.3156,2.30,Jul 21 02:36,Jul 21 12:39,,327.66,14.13,N/A,N/A,N/A,N/A,0.58,11.55
S0138,Success,10h 8m 16s,33,,46402.,0.6215,4.18,Jul 21 02:33,Jul 21 12:42,,327.66,23.61,N/A,N/A,N/A,N/A,1.0,9.79
S0139,Success,6h 25m 55s,21,,16599.,0.2837,4.18,Jul 21 02:30,Jul 21 08:56,,327.66,15.79,N/A,N/A,N/A,N/A,0.9,8.24
S0141,Success,10h 34m 32s,33,,17288.,0.3036,0.18,Jul 21 02:32,Jul 21 13:07,,327.66,5.91,N/A,N/A,N/A,N/A,0.36,8.24
S0140,Success,11h 36m 48s,36,,27373.,0.2927,2.74,Jul 21 02:36,Jul 21 14:12,,327.66,23.24,N/A,N/A,N/A,N/A,1.51,11.04
S0142,Success,10h 49m 40s,33,,16314.,0.2109,1.43,Jul 21 02:31,Jul 21 13:21,,327.66,20.45,N/A,N/A,N/A,N/A,1.28,8.58
S0143,Success,8h 36m 25s,27,,12573.,0.2181,0.38,Jul 21 02:30,Jul 21 11:06,,327.66,10.53,N/A,N/A,N/A,N/A,0.55,8.24
S0144,Success,12h 28m 14s,39,,20268.,0.3066,0.10,Jul 21 02:35,Jul 21 15:03,,327.66,6.0,N/A,N/A,N/A,N/A,0.37,8.24
S0145,Success,9h 49m 5s,30,,19735.,0.2726,6.38,Jul 21 02:33,Jul 21 12:23,,327.66,21.34,N/A,N/A,N/A,N/A,0.75,15.09
S0146,Success,10h 27m 51s,33,,21769.,0.2883,5.52,Jul 21 02:35,Jul 21 13:03,,327.66,19.8,N/A,N/A,N/A,N/A,0.74,11.65
S0147,Success,10h 16m 11s,33,,21003.,0.2646,4.56,Jul 21 02:35,Jul 21 12:51,,327.66,12.71,N/A,N/A,N/A,N/A,0.54,8.48
S0148,Success,11h 55m 31s,36,,25201.,0.3265,2.36,Jul 21 02:38,Jul 21 14:33,,327.66,15.64,N/A,N/A,N/A,N/A,0.58,11.55
S0149,Success,7h 6m 38s,24,,12985.,0.2052,2.93,Jul 21 02:30,Jul 21 09:37,,327.66,19.88,N/A,N/A,N/A,N/A,1.15,10.72
S0150,Success,8h 49m 51s,27,,16835.,0.2104,1.77,Jul 21 02:32,Jul 21 11:22,,327.66,19.23,N/A,N/A,N/A,N/A,1.25,8.93
S0151,Success,4h 11m 20s,15,,8539.,0.1869,0.46,Jul 21 02:29,Jul 21 06:41,,327.66,6.3,N/A,N/A,N/A,N/A,0.63,8.24
S0153,Success,7h 28m 22s,24,,15015.,0.2595,4.34,Jul 21 02:38,Jul 21 10:07,,327.66,19.06,N/A,N/A,N/A,N/A,0.63,16.11
S0152,Success,8h 10m 44s,27,,17562.,0.2661,0.20,Jul 21 02:34,Jul 21 10:44,,327.66,8.32,N/A,N/A,N/A,N/A,0.4,8.24
S0155,Success,6h 34m 46s,21,,12803.,0.2222,1.46,Jul 21 02:38,Jul 21 09:13,,327.66,10.68,N/A,N/A,N/A,N/A,0.49,12.66
S0154,Success,11h 18m 6s,36,,24813.,0.3186,3.87,Jul 21 02:44,Jul 21 14:02,,327.66,14.89,N/A,N/A,N/A,N/A,0.79,13.43
S0156,Success,4h 14m 28s,15,,7750.,0.1546,2.08,Jul 21 02:37,Jul 21 06:52,,327.66,13.59,N/A,N/A,N/A,N/A,1.43,14.24
S0157,Success,6h 55m 15s,21,,11915.,0.1690,2.36,Jul 21 02:38,Jul 21 09:33,,327.66,21.61,N/A,N/A,N/A,N/A,1.93,11.42
S0158,Success,7h 16m 57s,24,,16001.,0.2703,1.59,Jul 21 02:40,Jul 21 09:57,,327.66,7.13,N/A,N/A,N/A,N/A,0.47,8.24
S0159,Success,6h 34m 54s,21,,12122.,0.1938,1.06,Jul 21 02:38,Jul 21 09:13,,327.66,8.27,N/A,N/A,N/A,N/A,0.66,9.35
S0160,Success,10h 31m 45s,33,,23898.,0.3841,3.87,Jul 21 02:34,Jul 21 13:06,,327.66,6.95,N/A,N/A,N/A,N/A,0.4,8.24
S0161,Success,11h 1m 47s,36,,24718.,0.3594,2.82,Jul 21 02:34,Jul 21 13:36,,327.66,8.67,N/A,N/A,N/A,N/A,0.42,8.24
S0162,Success,11h 25m 10s,36,,24562.,0.3098,3.31,Jul 21 02:34,Jul 21 13:59,,327.66,12.05,N/A,N/A,N/A,N/A,0.39,8.32
S0164,Success,7h 49m 26s,24,,14095.,0.1840,2.03,Jul 22 18:35,Jul 23 02:24,,327.66,19.54,10.32,661226304.0,269976.56,N/A,1.66,11.0
S0163,Success,9h 40m 31s,30,,22764.,0.2674,2.13,Jul 22 18:40,Jul 23 04:21,,327.66,13.51,11.49,648578304.0,224688.97,N/A,0.98,9.9
S0165,Success,3h 30m 18s,12,,7888.,0.1679,1.01,Jul 22 18:33,Jul 22 22:04,,327.66,9.19,7.69,570446400.0,227988.78,N/A,0.8,8.24
S0167,Success,7h 9m 51s,24,,16898.,0.2681,0.33,Jul 22 18:36,Jul 23 01:46,,327.66,8.65,6.38,584750720.0,206834.75,N/A,0.69,8.24
S0166,Success,6h 27m 42s,21,,17026.,0.2790,0.10,Jul 22 18:35,Jul 23 01:03,,327.66,6.51,5.98,559186944.0,146763.61,N/A,0.43,8.24
S0168,Success,4h 51m 27s,15,,9968.,0.2126,0.11,Jul 22 18:35,Jul 22 23:26,,327.66,7.93,5.79,558536448.0,138176.33,N/A,0.44,8.24
S0169,Success,6h 56m 29s,21,,15649.,0.2681,0.22,Jul 22 18:36,Jul 23 01:32,,327.66,8.0,6.6,574636032.0,204266.12,N/A,0.39,8.24
S0170,Success,11h 7m 26s,36,,20085.,0.2771,0.15,Jul 22 18:39,Jul 23 05:46,,327.66,7.95,6.91,563373632.0,174112.86,N/A,0.32,8.24
S0171,Success,8h 23m 8s,27,,18390.,0.2414,1.90,Jul 22 18:37,Jul 23 03:00,,327.66,12.97,9.54,620509056.0,250347.67,N/A,0.82,8.92
S0172,Success,9h 10m 11s,30,,17739.,0.2492,1.99,Jul 22 18:36,Jul 23 03:46,,327.66,12.43,8.57,638117056.0,289632.16,N/A,1.16,8.76
S0173,Success,9h 37m 59s,30,,21034.,0.2789,2.45,Jul 22 18:40,Jul 23 04:18,,327.66,14.13,9.8,596553088.0,195746.81,N/A,0.58,11.55
S0174,Success,7h 29m 20s,24,,15507.,0.2326,0.22,Jul 22 18:35,Jul 23 02:04,,327.66,8.11,7.3,565527616.0,206189.3,N/A,0.52,8.24
S0175,Success,4h 2m 7s,15,,8091.,0.1725,0.12,Jul 22 18:33,Jul 22 22:35,,327.66,8.03,6.75,561351744.0,146776.08,N/A,0.5,8.24
S0176,Success,4h 25m 0s,15,,9174.,0.1801,0.12,Jul 22 18:33,Jul 22 22:58,,327.66,10.26,6.82,564109568.0,157432.78,N/A,0.66,8.24
S0177,Success,13h 16m 26s,42,,20543.,0.2954,1.02,Jul 22 18:40,Jul 23 07:57,,327.66,9.82,8.22,594427712.0,244560.52,N/A,0.47,8.24
S0178,Success,12h 23m 14s,39,,20650.,0.2746,2.36,Jul 22 18:42,Jul 23 07:05,,327.66,14.13,10.12,596595328.0,201956.27,N/A,0.58,11.55
