Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft)
S0118,Success,8h 34m 29s,27,,22199.,0.2934,2.46,Jul 21 02:15,Jul 21 10:50,,327.66,14.13,N/A,N/A,N/A,N/A,0.58,11.55
S0148,Success,11h 55m 31s,36,,25201.,0.3265,2.36,Jul 21 02:38,Jul 21 14:33,,327.66,15.64,N/A,N/A,N/A,N/A,0.58,11.55
S0151,Success,4h 11m 20s,15,,8539.,0.1869,0.46,Jul 21 02:29,Jul 21 06:41,,327.66,6.3,N/A,N/A,N/A,N/A,0.63,8.24
S0153,Success,7h 28m 22s,24,,15015.,0.2595,4.34,Jul 21 02:38,Jul 21 10:07,,327.66,19.06,N/A,N/A,N/A,N/A,0.63,16.11
S0156,Success,4h 14m 28s,15,,7750.,0.1546,2.08,Jul 21 02:37,Jul 21 06:52,,327.66,13.59,N/A,N/A,N/A,N/A,1.43,14.24
S0160,Success,10h 31m 45s,33,,23898.,0.3841,3.87,Jul 21 02:34,Jul 21 13:06,,327.66,6.95,N/A,N/A,N/A,N/A,0.4,8.24
S0172,Success,9h 10m 11s,30,,17739.,0.2492,1.99,Jul 22 18:36,Jul 23 03:46,,327.66,12.43,8.57,638117056.0,289632.16,N/A,1.16,8.76
S0175,Success,4h 2m 7s,15,,8091.,0.1725,0.12,Jul 22 18:33,Jul 22 22:35,,327.66,8.03,6.75,561351744.0,146776.08,N/A,0.5,8.24
S0187,Success,6h 40m 13s,21,,16302.,0.2808,0.20,Jul 22 18:35,Jul 23 01:16,,327.66,7.04,5.76,557806720.0,145078.98,N/A,0.33,8.24
S0428,Success,6h 15m 45s,21,,13816.,0.2241,0.13,Jul 22 18:33,Jul 23 00:49,,327.66,7.94,6.79,573451200.0,164200.03,N/A,0.42,8.24
S0448,Success,8h 54m 10s,27,,20109.,0.3155,0.44,Jul 22 18:40,Jul 23 03:34,,327.66,10.45,7.37,570219520.0,197885.88,N/A,0.36,8.24
S0457,Success,6h 30m 38s,21,,13306.,0.2386,0.32,Jul 22 18:34,Jul 23 01:04,,327.66,6.37,6.28,578910976.0,145104.62,N/A,0.54,8.24
S0483,Success,7h 32m 22s,24,,16926.,0.2599,0.47,Jul 22 18:37,Jul 23 02:09,,327.66,9.57,7.33,589451584.0,225748.95,N/A,0.52,8.24
S0710,Success,8h 58m 57s,27,,21200.,0.3023,0.13,Jul 22 18:40,Jul 23 03:39,,327.66,6.99,5.97,567089408.0,142595.64,N/A,0.61,8.24
S0716,Success,6h 23m 16s,21,,15156.,0.2494,1.73,Jul 22 18:34,Jul 23 00:57,,327.66,14.04,9.55,590576192.0,351603.62,N/A,1.15,8.24
S0718,Success,5h 41m 28s,18,,11613.,0.2277,0.50,Jul 22 18:33,Jul 23 00:14,,327.66,9.9,7.61,571721024.0,279397.66,N/A,0.47,8.24
S0721,Success,7h 53m 7s,24,,18052.,0.2822,0.19,Jul 22 18:37,Jul 23 02:30,,327.66,8.08,7.3,560443520.0,176018.59,N/A,0.39,8.24
S0725,Success,6h 24m 35s,21,,17080.,0.2919,0.10,Jul 22 18:36,Jul 23 01:01,,327.66,8.17,5.8,558455808.0,157992.44,N/A,0.33,8.24
S0731,Success,9h 45m 12s,30,,29504.,0.3279,1.20,Jul 22 18:40,Jul 23 04:25,,327.66,19.74,8.79,647654272.0,317508.72,N/A,1.38,8.26
S0734,Success,4h 26m 0s,15,,8886.,0.1842,0.39,Jul 22 18:35,Jul 22 23:01,,327.66,7.04,6.28,572692608.0,137601.55,N/A,0.55,8.24
S0736,Success,6h 12m 20s,21,,14977.,0.2904,0.09,Jul 22 18:36,Jul 23 00:48,,327.66,6.72,5.33,557802816.0,126423.64,N/A,0.37,8.24
S0742,Success,4h 6m 1s,15,,8592.,0.1741,2.55,Jul 22 18:33,Jul 22 22:39,,327.66,11.2,8.04,594160128.0,294103.78,N/A,0.97,8.24
S0764,Success,9h 53m 59s,30,,22216.,0.2922,2.45,Jul 22 18:41,Jul 23 04:35,,327.66,14.13,9.81,604748928.0,197022.92,N/A,0.58,11.55
S0765,Success,5h 36m 9s,18,,13139.,0.2454,0.18,Jul 22 18:34,Jul 23 00:10,,327.66,5.87,5.51,562533440.0,153057.58,N/A,0.46,8.24
S0772,Success,5h 28m 31s,18,,12578.,0.2204,0.19,Jul 22 18:35,Jul 23 00:03,,327.66,13.94,8.13,564483520.0,282514.62,N/A,0.35,8.24
S0977,Success,7h 56m 33s,24,,19957.,0.3178,1.86,Jul 22 18:37,Jul 23 02:33,,327.66,11.63,7.76,560105536.0,239653.11,N/A,0.45,8.24
