Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info
ntc_1980-01-10,Success,17h 18m 48s,54,,66715.,1.085,14.53,Nov 10 16:20,Nov 11 09:39,
ntc_1980-01-14,Success,15h 54m 37s,48,,42283.,0.6982,2.00,Nov 10 16:18,Nov 11 08:13,
ntc_1980-01-19,Success,17h 15m 25s,54,,63117.,0.9676,11.39,Nov 10 16:28,Nov 11 09:43,
ntc_1980-02-11,Success,14h 56m 31s,45,,48290.,0.8165,0.39,Nov 10 16:20,Nov 11 07:17,
ntc_1980-03-02,Success,18h 6m 34s,57,,141249.,2.403,1.34,Nov 10 16:20,Nov 11 10:27,
ntc_1980-05-10,Failed,9h 50m 22s,0,,34983.,0.7673,0.77,Nov 10 16:32,Nov 11 02:22,Overall Volume Accounting Error in Acre Feet: 34983. Overall Volume Accounting Error as percentage: 0.7673 The maximum cell wsel error was 0.77
ntc_1980-12-21,Success,16h 14m 40s,51,,69688.,1.097,0.77,Nov 10 16:19,Nov 11 08:33,
ntc_1980-12-27,Success,15h 24m 30s,48,,83925.,1.307,0.84,Nov 10 16:32,Nov 11 07:56,
ntc_1981-05-09,Success,15h 48m 12s,48,,63857.,0.9748,0.91,Nov 10 16:19,Nov 11 08:07,
ntc_1981-10-14,Success,23h 13m 38s,72,,88657.,1.379,0.80,Nov 10 16:19,Nov 11 15:33,
ntc_1981-10-31,Success,18h 28m 50s,57,,118034.,1.834,31.00,Nov 10 16:20,Nov 11 10:49,
ntc_1981-11-13,Success,17h 6m 42s,54,,62282.,0.8985,3.18,Nov 10 16:20,Nov 11 09:27,
ntc_1981-12-30,Failed,12h 25m 9s,0,,29309.,0.5853,8.27,Nov 10 16:18,Nov 11 04:43,Overall Volume Accounting Error in Acre Feet: 29309. Overall Volume Accounting Error as percentage: 0.5853 The maximum cell wsel error was 8.27
ntc_1982-02-26,Success,17h 56m 36s,54,,48020.,0.8161,0.41,Nov 10 16:19,Nov 11 10:15,
ntc_1982-04-30,Success,18h 6m 50s,57,,88192.,1.330,0.39,Nov 10 16:23,Nov 11 10:30,
ntc_1982-10-24,Success,18h 14m 52s,57,,113475.,1.761,682.75,Nov 10 16:19,Nov 11 10:34,
ntc_1982-12-08,Success,15h 51m 42s,48,,82454.,1.246,0.88,Nov 10 16:32,Nov 11 08:24,
ntc_1982-12-13,Success,16h 55m 2s,51,,98455.,1.527,1.02,Nov 10 16:18,Nov 11 09:13,
ntc_1983-01-05,Success,16h 54m 34s,51,,40943.,0.6150,2.44,Nov 10 16:18,Nov 11 09:13,
ntc_1983-01-10,Success,18h 25m 20s,57,,57328.,0.8901,0.50,Nov 10 16:19,Nov 11 10:44,
ntc_1983-01-20,Success,18h 54m 45s,57,,66262.,1.025,2.56,Nov 10 16:18,Nov 11 11:13,
ntc_1983-02-13,Failed,13h 3m 1s,0,,621890.,12.51,0.96,Nov 10 16:20,Nov 11 05:23,Overall Volume Accounting Error in Acre Feet: 621890. Overall Volume Accounting Error as percentage: 12.51 The maximum cell wsel error was 0.96
ntc_1983-02-17,Failed,6h 37m 0s,0,,109318.,2.752,0.79,Nov 10 16:20,Nov 10 22:57,Overall Volume Accounting Error in Acre Feet: 109318. Overall Volume Accounting Error as percentage: 2.752 The maximum cell wsel error was 0.79
ntc_1983-02-21,Success,24h 9m 14s,75,,96994.,1.546,0.82,Nov 10 16:31,Nov 11 16:40,
ntc_1983-02-27,Success,16h 27m 26s,51,,139555.,2.109,0.52,Nov 10 16:19,Nov 11 08:46,
ntc_1983-03-17,Success,19h 38m 35s,60,,104602.,1.633,2.85,Nov 10 16:19,Nov 11 11:57,
ntc_1983-06-12,Success,22h 3m 53s,69,,45874.,0.6505,3.14,Nov 10 16:19,Nov 11 14:23,
ntc_1983-07-08,Failed,8h 37m 15s,0,,50342.,1.277,1.91,Nov 10 16:20,Nov 11 00:58,Overall Volume Accounting Error in Acre Feet: 50342. Overall Volume Accounting Error as percentage: 1.277 The maximum cell wsel error was 1.91
