Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft)
S0125,Success,4h 45m 50s,15,,11914.0,0.2473,0.18,Jul 21 02:10,Jul 21 06:56,,327.66,6.08,,,,143.95,0.64,8.24
S0127,Success,6h 6m 19s,21,,11827.0,0.2092,0.18,Jul 21 02:09,Jul 21 08:16,,327.66,7.8,,,,89.33,0.75,8.24
S0126,Success,6h 57m 57s,21,,12885.0,0.1828,1.87,Jul 21 02:10,Jul 21 09:08,,327.66,17.12,,,,86.59,1.39,8.72
S0116,Success,7h 29m 44s,24,,26012.0,0.3589,1.54,Jul 21 02:10,Jul 21 09:40,,327.66,20.35,,,,134.14,1.6,8.72
S0120,Success,5h 49m 33s,18,,13490.0,0.2555,0.07,Jul 21 02:10,Jul 21 07:59,,327.66,5.84,,,,46.98,0.45,8.24
S0119,Success,6h 21m 46s,21,,15188.0,0.281,0.18,Jul 21 02:11,Jul 21 08:33,,327.66,5.57,,,,87.35,0.43,8.24
S0113,Success,6h 15m 0s,21,,18697.0,0.3184,0.11,Jul 21 02:11,Jul 21 08:26,,327.66,6.28,,,,202.52,0.34,8.24
S0118,Success,8h 34m 29s,27,,22199.0,0.2934,2.46,Jul 21 02:15,Jul 21 10:50,,327.66,14.13,,,,90.5,0.58,11.55
S0128,Success,8h 35m 5s,27,,17669.0,0.3093,0.11,Jul 21 02:13,Jul 21 10:48,,327.66,7.14,,,,42.01,0.4,8.24
S0121,Success,8h 42m 33s,27,,80692.0,1.14,1.18,Jul 21 02:15,Jul 21 10:57,,327.66,10.97,,,,226.93,0.62,8.24
S0124,Success,7h 29m 11s,24,,23435.0,0.3513,0.13,Jul 21 02:14,Jul 21 09:43,,327.66,5.83,,,,140.6,0.38,8.24
S0123,Success,8h 32m 34s,27,,73972.0,0.9752,2.58,Jul 21 02:16,Jul 21 10:48,,327.66,14.13,,,,188.02,0.58,11.55
S0122,Success,9h 15m 23s,30,,50076.0,0.6606,2.41,Jul 21 02:17,Jul 21 11:32,,327.66,14.13,,,,176.2,0.58,11.55
S0117,Success,6h 48m 7s,21,,17745.0,0.291,0.11,Jul 21 02:12,Jul 21 09:00,,327.66,5.7,,,,138.78,0.35,8.24
S0134,Success,5h 29m 20s,18,,12268.0,0.2402,0.18,Jul 21 02:29,Jul 21 07:59,,327.66,7.94,,,,128.92,0.45,8.24
S0133,Success,6h 39m 24s,21,,19087.0,0.3296,0.31,Jul 21 02:30,Jul 21 09:09,,327.66,9.38,,,,147.12,0.65,8.24
S0135,Success,7h 7m 6s,24,,12147.0,0.2046,0.22,Jul 21 02:30,Jul 21 09:37,,327.66,9.29,,,,65.35,0.91,8.24
S0131,Success,11h 32m 3s,36,,124878.0,1.639,2.83,Jul 21 02:18,Jul 21 13:50,,327.66,15.41,,,,206.51,0.58,11.55
S0130,Success,11h 17m 2s,36,,135529.0,1.675,4.95,Jul 21 02:17,Jul 21 13:34,,327.66,20.6,,,,204.41,1.15,8.72
S0132,Success,10h 22m 59s,33,,31430.0,0.4086,0.2,Jul 21 02:16,Jul 21 12:39,,327.66,9.01,,,,161.02,0.53,8.24
S0138,Success,10h 8m 16s,33,,46402.0,0.6215,4.18,Jul 21 02:33,Jul 21 12:42,,327.66,23.61,,,,226.56,1.0,9.79
S0139,Success,6h 25m 55s,21,,16599.0,0.2837,4.18,Jul 21 02:30,Jul 21 08:56,,327.66,15.79,,,,212.57,0.9,8.24
S0136,Success,7h 40m 51s,24,,17690.0,0.2674,0.12,Jul 21 02:34,Jul 21 10:15,,327.66,7.55,,,,42.24,0.38,8.24
S0141,Success,10h 34m 32s,33,,17288.0,0.3036,0.18,Jul 21 02:32,Jul 21 13:07,,327.66,5.91,,,,153.57,0.36,8.24
